,Total,Vente_pente_Close,Vente_pente_J5,Vente_pente_J10,Vente_pente_J15,Vente_pente_J20,Achat_pente_Close
Scenario_43,100.28849331336883,0.0,0.07664202547717261,0.1288730663918923,False,False,0.0
Scenario_44,100.28849331336883,0.0,0.11627195889866886,0.1288730663918923,False,False,0.0
Scenario_45,100.28849331336883,0.0,0.1559018923201651,0.1288730663918923,False,False,0.0
Scenario_46,100.28849331336883,0.0,0.19553182574166134,0.1288730663918923,False,False,0.0
Scenario_47,100.28849331336883,0.0,0.2351617591631576,0.1288730663918923,False,False,0.0
Scenario_48,100.28849331336883,0.0,0.3144216260061501,0.1288730663918923,False,False,0.0
Scenario_49,100.28849331336883,0.0,0.4729413596921351,0.1288730663918923,False,False,0.0
Scenario_50,100.28849331336883,0.0,False,0.15828173564030573,False,False,0.0
Scenario_51,100.28849331336883,0.0,-0.16113757505180487,0.15828173564030573,False,False,0.0
Scenario_52,100.28849331336883,0.0,-0.002617841365819884,0.15828173564030573,False,False,0.0
Scenario_53,100.28849331336883,0.0,0.07664202547717261,0.15828173564030573,False,False,0.0
Scenario_54,100.28849331336883,0.0,0.11627195889866886,0.15828173564030573,False,False,0.0
Scenario_55,100.28849331336883,0.0,0.1559018923201651,0.15828173564030573,False,False,0.0
Scenario_56,100.28849331336883,0.0,0.19553182574166134,0.15828173564030573,False,False,0.0
Scenario_57,100.28849331336883,0.0,0.2351617591631576,0.15828173564030573,False,False,0.0
Scenario_58,100.28849331336883,0.0,0.3144216260061501,0.15828173564030573,False,False,0.0
Scenario_59,100.28849331336883,0.0,0.4729413596921351,0.15828173564030573,False,False,0.0
Scenario_60,100.28849331336883,0.0,False,0.18769040488871916,False,False,0.0
Scenario_61,100.28849331336883,0.0,-0.16113757505180487,0.18769040488871916,False,False,0.0
Scenario_62,100.28849331336883,0.0,-0.002617841365819884,0.18769040488871916,False,False,0.0
Scenario_63,100.28849331336883,0.0,0.07664202547717261,0.18769040488871916,False,False,0.0
Scenario_64,100.28849331336883,0.0,0.11627195889866886,0.18769040488871916,False,False,0.0
Scenario_65,100.28849331336883,0.0,0.1559018923201651,0.18769040488871916,False,False,0.0
Scenario_66,100.28849331336883,0.0,0.19553182574166134,0.18769040488871916,False,False,0.0
Scenario_67,100.28849331336883,0.0,0.2351617591631576,0.18769040488871916,False,False,0.0
Scenario_68,100.28849331336883,0.0,0.3144216260061501,0.18769040488871916,False,False,0.0
Scenario_69,100.28849331336883,0.0,0.4729413596921351,0.18769040488871916,False,False,0.0
Scenario_70,103.4048526146357,0.0,False,0.21709907413713256,False,False,0.0
Scenario_71,100.28849331336883,0.0,-0.16113757505180487,0.21709907413713256,False,False,0.0
Scenario_72,100.28849331336883,0.0,-0.002617841365819884,0.21709907413713256,False,False,0.0
Scenario_73,100.28849331336883,0.0,0.07664202547717261,0.21709907413713256,False,False,0.0
Scenario_74,100.28849331336883,0.0,0.11627195889866886,0.21709907413713256,False,False,0.0
Scenario_75,103.4048526146357,0.0,0.1559018923201651,0.21709907413713256,False,False,0.0
Scenario_76,103.4048526146357,0.0,0.19553182574166134,0.21709907413713256,False,False,0.0
Scenario_77,103.4048526146357,0.0,0.2351617591631576,0.21709907413713256,False,False,0.0
Scenario_78,103.4048526146357,0.0,0.3144216260061501,0.21709907413713256,False,False,0.0
Scenario_79,103.4048526146357,0.0,0.4729413596921351,0.21709907413713256,False,False,0.0
Scenario_80,103.4048526146357,0.0,False,0.2759164126339594,False,False,0.0
Scenario_81,100.28849331336883,0.0,-0.16113757505180487,0.2759164126339594,False,False,0.0
Scenario_82,100.28849331336883,0.0,-0.002617841365819884,0.2759164126339594,False,False,0.0
Scenario_83,100.28849331336883,0.0,0.07664202547717261,0.2759164126339594,False,False,0.0
Scenario_84,100.28849331336883,0.0,0.11627195889866886,0.2759164126339594,False,False,0.0
Scenario_85,103.4048526146357,0.0,0.1559018923201651,0.2759164126339594,False,False,0.0
Scenario_86,103.4048526146357,0.0,0.19553182574166134,0.2759164126339594,False,False,0.0
Scenario_87,103.4048526146357,0.0,0.2351617591631576,0.2759164126339594,False,False,0.0
